iter	Passed	Remaining
715	9513	3773
716	9524	3759
717	9536	3745
718	9549	3732
719	9564	3719
720	9578	3706
721	9591	3692
722	9602	3678
723	9613	3664
724	9624	3650
725	9638	3637
726	9652	3624
727	9663	3610
728	9677	3597
729	9690	3583
730	9703	3570
731	9715	3557
732	9728	3543
733	9740	3529
734	9753	3516
735	9766	3503
736	9780	3490
737	9792	3476
738	9807	3463
739	9820	3450
740	9834	3437
741	9846	3423
742	9859	3410
743	9872	3396
744	9884	3383
745	9896	3369
746	9907	3355
747	9919	3341
748	9935	3329
749	9948	3316
750	9963	3303
751	9976	3290
752	9989	3276
753	10003	3263
754	10015	3250
755	10030	3237
756	10044	3224
757	10056	3210
758	10070	3197
759	10083	3184
760	10095	3170
761	10107	3156
762	10118	3143
763	10131	3129
764	10146	3116
765	10158	3103
766	10171	3089
767	10184	3076
768	10195	3062
769	10208	3049
770	10219	3035
771	10231	3021
772	10245	3008
773	10259	2995
774	10274	2982
775	10288	2969
776	10301	2956
777	10314	2943
778	10327	2929
779	10338	2916
780	10351	2902
781	10364	2889
782	10376	2875
783	10389	2862
784	10401	2848
785	10412	2834
786	10424	2821
787	10438	2808
788	10449	2794
789	10463	2781
790	10476	2768
791	10489	2754
792	10502	2741
793	10514	2727
794	10527	2714
795	10540	2701
796	10554	2688
797	10566	2674
798	10578	2661
799	10590	2647
800	10604	2634
801	10616	2621
802	10629	2607
803	10640	2593
804	10652	2580
805	10665	2567
806	10678	2553
807	10692	2540
808	10703	2526
809	10716	2513
810	10728	2500
811	10740	2486
812	10753	2473
813	10766	2460
814	10779	2446
815	10792	2433
816	10803	2419
817	10815	2406
818	10827	2392
819	10843	2380
820	10857	2367
821	10871	2354
822	10883	2340
823	10897	2327
824	10908	2313
825	10921	2300
826	10934	2287
827	10946	2273
828	10959	2260
829	10970	2247
830	10983	2233
831	10996	2220
832	11007	2206
833	11020	2193
834	11033	2180
835	11044	2166
836	11057	2153
837	11071	2140
838	11084	2127
839	11098	2113
840	11109	2100
841	11121	2086
842	11133	2073
843	11147	2060
844	11162	2047
845	11176	2034
846	11192	2021
